"","contig_id","contig_length","provirus","proviral_length","gene_count","viral_genes","host_genes","checkv_quality","miuvig_quality","completeness","completeness_method","contamination","kmer_freq","warnings","Genome","contig_fasta","Genomefasta"
"1008","NZ_CP089934.1|provirus_3210715_3242345",31631,"No",NA,43,27,0,"Medium-quality","Genome-fragment",70.73,"AAI-based","(medium-confidence)",0,"1.05","CheckV/GCF_021365485.1_ASM2136548v1","NZ_CP089934.1","CheckV/GCF_021365485.1"
"1009","NZ_CP089934.1|provirus_3513625_3550763",37139,"Yes",29412,53,25,7,"Medium-quality","Genome-fragment",80.66,"AAI-based","(medium-confidence)",20.81,"1","CheckV/GCF_021365485.1_ASM2136548v1","NZ_CP089934.1","CheckV/GCF_021365485.1"
"1010","NZ_CP089934.1|provirus_4528801_4543782",14982,"No",NA,18,7,1,"Low-quality","Genome-fragment",30.42,"AAI-based","(medium-confidence)",0,"1.05","CheckV/GCF_021365485.1_ASM2136548v1","NZ_CP089934.1","CheckV/GCF_021365485.1"
"1011","NZ_CP089940.1|provirus_27662_40545",12884,"No",NA,17,13,1,"Low-quality","Genome-fragment",32.23,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1012","NZ_CP089940.1|provirus_498379_546146",47768,"No",NA,75,50,1,"High-quality","High-quality",100,"AAI-based","(medium-confidence)",0,"1.01","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1013","NZ_CP089940.1|provirus_576090_618882",42793,"No",NA,46,24,2,"High-quality","High-quality",100,"AAI-based","(high-confidence)",0,"1.01","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1014","NZ_CP089940.1|provirus_837376_848738",11363,"No",NA,21,6,0,"Low-quality","Genome-fragment",24,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1015","NZ_CP089940.1|provirus_1383205_1416229",33025,"No",NA,47,30,1,"High-quality","High-quality",93.43,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1016","NZ_CP089940.1|provirus_1438998_1468499",29502,"No",NA,43,24,0,"Medium-quality","Genome-fragment",80.75,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1017","NZ_CP089940.1|provirus_1499589_1534444",34856,"No",NA,51,33,1,"High-quality","High-quality",93.96,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1018","NZ_CP089940.1|provirus_1761778_1787642",25865,"No",NA,35,19,1,"Medium-quality","Genome-fragment",63.38,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1019","NZ_CP089940.1|provirus_1840633_1864942",24310,"No",NA,41,12,5,"Low-quality","Genome-fragment",25.97,"AAI-based","(medium-confidence)",0,"1.05","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1020","NZ_CP089940.1|provirus_2005866_2043899",38034,"Yes",35762,51,25,4,"High-quality","High-quality",100,"AAI-based","(high-confidence)",5.97,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1021","NZ_CP089940.1|provirus_2098410_2130951",32542,"No",NA,46,26,2,"High-quality","High-quality",92.35,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1022","NZ_CP089940.1|provirus_2261113_2319766",58654,"Yes",55158,83,26,5,"Medium-quality","Genome-fragment",77.82,"HMM-based","(lower-bound)",5.96,"1.03","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1023","NZ_CP089940.1|provirus_2358009_2399214",41206,"Yes",28151,51,25,4,"Medium-quality","Genome-fragment",77.49,"AAI-based","(medium-confidence)",31.68,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1024","NZ_CP089940.1|provirus_2518532_2553101",34570,"No",NA,48,26,3,"High-quality","High-quality",98.1,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1025","NZ_CP089940.1|provirus_2862185_2884538",22354,"No",NA,33,11,1,"Medium-quality","Genome-fragment",58.03,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1026","NZ_CP089940.1|provirus_3943966_3962113",18148,"No",NA,27,5,3,"Medium-quality","Genome-fragment",54.31,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1027","NZ_CP089940.1|provirus_4060039_4125754",65716,"No",NA,95,44,5,"High-quality","High-quality",100,"AAI-based","(high-confidence)",0,"1.07","CheckV/GCF_021365505.1_ASM2136550v1","NZ_CP089940.1","CheckV/GCF_021365505.1"
"1028","NZ_CP089945.1",31842,"No",NA,44,26,1,"Medium-quality","Genome-fragment",53.28,"AAI-based","(high-confidence)",0,"1.01","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089945.1","CheckV/GCF_021365535.1"
"1029","NZ_CP089942.1|provirus_301714_343940",42227,"No",NA,58,28,4,"High-quality","High-quality",100,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1030","NZ_CP089942.1|provirus_695349_738440",43092,"No",NA,55,36,1,"High-quality","High-quality",100,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1031","NZ_CP089942.1|provirus_801744_822414",20671,"No",NA,25,3,0,"Low-quality","Genome-fragment",22.58,"HMM-based","(lower-bound)",0,"1.02","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1032","NZ_CP089942.1|provirus_1084138_1113397",29260,"No",NA,42,25,0,"Medium-quality","Genome-fragment",80.25,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1033","NZ_CP089942.1|provirus_1325639_1453424",127786,"No",NA,175,74,15,"High-quality","High-quality",100,"AAI-based","(high-confidence)",0,"1.07","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1034","NZ_CP089942.1|provirus_2028263_2083382",55120,"No",NA,86,54,2,"High-quality","High-quality",100,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1035","NZ_CP089942.1|provirus_2286386_2306348",19963,"Yes",16441,35,14,2,"Low-quality","Genome-fragment",45.67,"AAI-based","(medium-confidence)",17.64,"1","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1036","NZ_CP089942.1|provirus_2749312_2823527",74216,"Yes",72089,110,40,4,"High-quality","High-quality",100,"AAI-based","(high-confidence)",2.87,"1.03","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1037","NZ_CP089942.1|provirus_2907049_2933035",25987,"No",NA,42,23,0,"Medium-quality","Genome-fragment",57.39,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1038","NZ_CP089942.1|provirus_2990092_3021041",30950,"No",NA,37,19,0,"High-quality","High-quality",99.92,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1039","NZ_CP089942.1|provirus_3182240_3207426",25187,"No",NA,44,14,5,"Low-quality","Genome-fragment",43.66,"HMM-based","(lower-bound)",0,"1.05","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1040","NZ_CP089942.1|provirus_3262558_3294188",31631,"No",NA,43,27,0,"Medium-quality","Genome-fragment",70.73,"AAI-based","(medium-confidence)",0,"1.05","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1041","NZ_CP089942.1|provirus_3572340_3609480",37141,"Yes",29414,53,24,7,"Medium-quality","Genome-fragment",80.67,"AAI-based","(medium-confidence)",20.8,"1","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1042","NZ_CP089942.1|provirus_4589606_4604586",14981,"No",NA,17,7,1,"Low-quality","Genome-fragment",30.65,"AAI-based","(medium-confidence)",0,"1.04","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1043","NZ_CP089942.1|provirus_4790005_4854895",64891,"Yes",36672,76,32,13,"High-quality","High-quality",95.32,"AAI-based","(high-confidence)",43.49,"1.01","CheckV/GCF_021365535.1_ASM2136553v1","NZ_CP089942.1","CheckV/GCF_021365535.1"
"1044","NZ_CP063805.1|provirus_3239666_3255476",15811,"No",NA,18,7,1,"Low-quality","Genome-fragment",29.12,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_022811485.1_ASM2281148v1","NZ_CP063805.1","CheckV/GCF_022811485.1"
"1045","NZ_JAJTJX010000115.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023182875.1_ASM2318287v1","NZ_JAJTJX010000115.1","CheckV/GCF_023182875.1"
"1046","NZ_JAJTJX010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023182875.1_ASM2318287v1","NZ_JAJTJX010000004.1","CheckV/GCF_023182875.1"
"1047","NZ_JAJTJV010000101.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023182895.1_ASM2318289v1","NZ_JAJTJV010000101.1","CheckV/GCF_023182895.1"
"1048","NZ_JAJTJV010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023182895.1_ASM2318289v1","NZ_JAJTJV010000004.1","CheckV/GCF_023182895.1"
"1049","NZ_JAJTJW010000120.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023182905.1_ASM2318290v1","NZ_JAJTJW010000120.1","CheckV/GCF_023182905.1"
"1050","NZ_JAJTJW010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023182905.1_ASM2318290v1","NZ_JAJTJW010000004.1","CheckV/GCF_023182905.1"
"1051","NZ_JAJTJU010000104.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023182935.1_ASM2318293v1","NZ_JAJTJU010000104.1","CheckV/GCF_023182935.1"
"1052","NZ_JAJTJU010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023182935.1_ASM2318293v1","NZ_JAJTJU010000004.1","CheckV/GCF_023182935.1"
"1053","NZ_JAJTJZ010000019.1",3252,"No",NA,2,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023182945.1_ASM2318294v1","NZ_JAJTJZ010000019.1","CheckV/GCF_023182945.1"
"1054","NZ_JAJTJZ010000080.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023182945.1_ASM2318294v1","NZ_JAJTJZ010000080.1","CheckV/GCF_023182945.1"
"1055","NZ_JAJTJZ010000004.1|provirus_261264_277074",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023182945.1_ASM2318294v1","NZ_JAJTJZ010000004.1","CheckV/GCF_023182945.1"
"1056","NZ_JAJTKC010000110.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023182975.1_ASM2318297v1","NZ_JAJTKC010000110.1","CheckV/GCF_023182975.1"
"1057","NZ_JAJTKC010000004.1|provirus_263689_279499",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023182975.1_ASM2318297v1","NZ_JAJTKC010000004.1","CheckV/GCF_023182975.1"
"1058","NZ_JAJTKB010000098.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023182995.1_ASM2318299v1","NZ_JAJTKB010000098.1","CheckV/GCF_023182995.1"
"1059","NZ_JAJTKB010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023182995.1_ASM2318299v1","NZ_JAJTKB010000004.1","CheckV/GCF_023182995.1"
"1060","NZ_JAJTKD010000119.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183015.1_ASM2318301v1","NZ_JAJTKD010000119.1","CheckV/GCF_023183015.1"
"1061","NZ_JAJTKD010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183015.1_ASM2318301v1","NZ_JAJTKD010000004.1","CheckV/GCF_023183015.1"
"1062","NZ_JAJTJY010000144.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183025.1_ASM2318302v1","NZ_JAJTJY010000144.1","CheckV/GCF_023183025.1"
"1063","NZ_JAJTJY010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183025.1_ASM2318302v1","NZ_JAJTJY010000004.1","CheckV/GCF_023183025.1"
"1064","NZ_JAJTKA010000103.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183035.1_ASM2318303v1","NZ_JAJTKA010000103.1","CheckV/GCF_023183035.1"
"1065","NZ_JAJTKA010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183035.1_ASM2318303v1","NZ_JAJTKA010000004.1","CheckV/GCF_023183035.1"
"1066","NZ_JAJTKF010000100.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183075.1_ASM2318307v1","NZ_JAJTKF010000100.1","CheckV/GCF_023183075.1"
"1067","NZ_JAJTKF010000018.1",3252,"No",NA,2,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183075.1_ASM2318307v1","NZ_JAJTKF010000018.1","CheckV/GCF_023183075.1"
"1068","NZ_JAJTKF010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183075.1_ASM2318307v1","NZ_JAJTKF010000004.1","CheckV/GCF_023183075.1"
"1069","NZ_JAJTKE010000111.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183085.1_ASM2318308v1","NZ_JAJTKE010000111.1","CheckV/GCF_023183085.1"
"1070","NZ_JAJTKE010000004.1|provirus_261502_277312",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183085.1_ASM2318308v1","NZ_JAJTKE010000004.1","CheckV/GCF_023183085.1"
"1071","NZ_JAJTKI010000082.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183115.1_ASM2318311v1","NZ_JAJTKI010000082.1","CheckV/GCF_023183115.1"
"1072","NZ_JAJTKI010000004.1|provirus_261234_277044",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183115.1_ASM2318311v1","NZ_JAJTKI010000004.1","CheckV/GCF_023183115.1"
"1073","NZ_JAJTKG010000099.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183135.1_ASM2318313v1","NZ_JAJTKG010000099.1","CheckV/GCF_023183135.1"
"1074","NZ_JAJTKG010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183135.1_ASM2318313v1","NZ_JAJTKG010000004.1","CheckV/GCF_023183135.1"
"1075","NZ_JAJTKH010000143.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183155.1_ASM2318315v1","NZ_JAJTKH010000143.1","CheckV/GCF_023183155.1"
"1076","NZ_JAJTKH010000004.1|provirus_23750_39560",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183155.1_ASM2318315v1","NZ_JAJTKH010000004.1","CheckV/GCF_023183155.1"
"1077","NZ_JAJTKK010000126.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183175.1_ASM2318317v1","NZ_JAJTKK010000126.1","CheckV/GCF_023183175.1"
"1078","NZ_JAJTKK010000004.1|provirus_263657_279467",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183175.1_ASM2318317v1","NZ_JAJTKK010000004.1","CheckV/GCF_023183175.1"
"1079","NZ_JAJTKJ010000080.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183195.1_ASM2318319v1","NZ_JAJTKJ010000080.1","CheckV/GCF_023183195.1"
"1080","NZ_JAJTKJ010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183195.1_ASM2318319v1","NZ_JAJTKJ010000004.1","CheckV/GCF_023183195.1"
"1081","NZ_JAJTKL010000101.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183215.1_ASM2318321v1","NZ_JAJTKL010000101.1","CheckV/GCF_023183215.1"
"1082","NZ_JAJTKL010000019.1",3252,"No",NA,2,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183215.1_ASM2318321v1","NZ_JAJTKL010000019.1","CheckV/GCF_023183215.1"
"1083","NZ_JAJTKL010000004.1|provirus_305093_320903",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183215.1_ASM2318321v1","NZ_JAJTKL010000004.1","CheckV/GCF_023183215.1"
"1084","NZ_JAJTKM010000106.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183225.1_ASM2318322v1","NZ_JAJTKM010000106.1","CheckV/GCF_023183225.1"
"1085","NZ_JAJTKM010000004.1|provirus_261261_277071",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183225.1_ASM2318322v1","NZ_JAJTKM010000004.1","CheckV/GCF_023183225.1"
"1086","NZ_JAJTKO010000105.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183245.1_ASM2318324v1","NZ_JAJTKO010000105.1","CheckV/GCF_023183245.1"
"1087","NZ_JAJTKO010000004.1|provirus_261528_272990",11463,"No",NA,14,5,1,"Low-quality","Genome-fragment",20.32,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_023183245.1_ASM2318324v1","NZ_JAJTKO010000004.1","CheckV/GCF_023183245.1"
"1088","NZ_JAJTKQ010000120.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183275.1_ASM2318327v1","NZ_JAJTKQ010000120.1","CheckV/GCF_023183275.1"
"1089","NZ_JAJTKQ010000020.1",3252,"No",NA,2,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183275.1_ASM2318327v1","NZ_JAJTKQ010000020.1","CheckV/GCF_023183275.1"
"1090","NZ_JAJTKQ010000082.1",272,"No",NA,1,1,0,"Low-quality","Genome-fragment",0.44,"HMM-based","(lower-bound)",0,"1.0","CheckV/GCF_023183275.1_ASM2318327v1","NZ_JAJTKQ010000082.1","CheckV/GCF_023183275.1"
"1091","NZ_JAJTKQ010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183275.1_ASM2318327v1","NZ_JAJTKQ010000004.1","CheckV/GCF_023183275.1"
"1092","NZ_JAJTKP010000100.1",255,"No",NA,1,1,0,"Low-quality","Genome-fragment",0.49,"HMM-based","(lower-bound)",0,"1.0","CheckV/GCF_023183285.1_ASM2318328v1","NZ_JAJTKP010000100.1","CheckV/GCF_023183285.1"
"1093","NZ_JAJTKP010000111.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183285.1_ASM2318328v1","NZ_JAJTKP010000111.1","CheckV/GCF_023183285.1"
"1094","NZ_JAJTKP010000004.1|provirus_261234_277044",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183285.1_ASM2318328v1","NZ_JAJTKP010000004.1","CheckV/GCF_023183285.1"
"1095","NZ_JAJTKN010000126.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183295.1_ASM2318329v1","NZ_JAJTKN010000126.1","CheckV/GCF_023183295.1"
"1096","NZ_JAJTKN010000082.1",269,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183295.1_ASM2318329v1","NZ_JAJTKN010000082.1","CheckV/GCF_023183295.1"
"1097","NZ_JAJTKN010000004.1|provirus_261957_277767",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183295.1_ASM2318329v1","NZ_JAJTKN010000004.1","CheckV/GCF_023183295.1"
"1098","NZ_JAJTKR010000116.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183315.1_ASM2318331v1","NZ_JAJTKR010000116.1","CheckV/GCF_023183315.1"
"1099","NZ_JAJTKR010000020.1",3252,"No",NA,2,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183315.1_ASM2318331v1","NZ_JAJTKR010000020.1","CheckV/GCF_023183315.1"
"1100","NZ_JAJTKR010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183315.1_ASM2318331v1","NZ_JAJTKR010000004.1","CheckV/GCF_023183315.1"
"1101","NZ_JAJTKS010000162.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183355.1_ASM2318335v1","NZ_JAJTKS010000162.1","CheckV/GCF_023183355.1"
"1102","NZ_JAJTKS010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183355.1_ASM2318335v1","NZ_JAJTKS010000004.1","CheckV/GCF_023183355.1"
"1103","NZ_JAJTKT010000126.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183375.1_ASM2318337v1","NZ_JAJTKT010000126.1","CheckV/GCF_023183375.1"
"1104","NZ_JAJTKT010000004.1|provirus_261957_277767",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183375.1_ASM2318337v1","NZ_JAJTKT010000004.1","CheckV/GCF_023183375.1"
"1105","NZ_JAJTKW010000107.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183385.1_ASM2318338v1","NZ_JAJTKW010000107.1","CheckV/GCF_023183385.1"
"1106","NZ_JAJTKW010000052.1",286,"No",NA,1,1,0,"Low-quality","Genome-fragment",0.59,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_023183385.1_ASM2318338v1","NZ_JAJTKW010000052.1","CheckV/GCF_023183385.1"
"1107","NZ_JAJTKW010000004.1|provirus_23708_39518",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183385.1_ASM2318338v1","NZ_JAJTKW010000004.1","CheckV/GCF_023183385.1"
"1108","NZ_JAJTKU010000108.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183415.1_ASM2318341v1","NZ_JAJTKU010000108.1","CheckV/GCF_023183415.1"
"1109","NZ_JAJTKU010000004.1|provirus_261237_277047",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183415.1_ASM2318341v1","NZ_JAJTKU010000004.1","CheckV/GCF_023183415.1"
"1110","NZ_JAJTKX010000077.1",258,"No",NA,1,1,0,"Low-quality","Genome-fragment",0.39,"HMM-based","(lower-bound)",0,"1.0","CheckV/GCF_023183425.1_ASM2318342v1","NZ_JAJTKX010000077.1","CheckV/GCF_023183425.1"
"1111","NZ_JAJTKX010000092.1",250,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183425.1_ASM2318342v1","NZ_JAJTKX010000092.1","CheckV/GCF_023183425.1"
"1112","NZ_JAJTKX010000004.1|provirus_261237_277047",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_023183425.1_ASM2318342v1","NZ_JAJTKX010000004.1","CheckV/GCF_023183425.1"
"1113","NZ_JAJTKV010000019.1",3152,"No",NA,2,0,1,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_023183455.1_ASM2318345v1","NZ_JAJTKV010000019.1","CheckV/GCF_023183455.1"
