"","seq_name","length","topology","coordinates","n_genes","genetic_code","virus_score","fdr","n_hallmarks","marker_enrichment","taxonomy","Genome"
"935","NZ_JAFBFW010000025.1",1035,"No","terminal","repeats",NA,3,11,0.9996,NA,"1","GCF_016909495.1_ASM1690949v1_genomic_summary/GCF_016909495.1_ASM1690949v1_genomic_virus_summary.tsv"
"936","NZ_JAFBFW010000015.1",26588,"No","terminal","repeats",NA,40,11,0.9994,NA,"12","GCF_016909495.1_ASM1690949v1_genomic_summary/GCF_016909495.1_ASM1690949v1_genomic_virus_summary.tsv"
"937","NZ_JAFBFW010000014.1",27282,"No","terminal","repeats",NA,38,11,0.9994,NA,"10","GCF_016909495.1_ASM1690949v1_genomic_summary/GCF_016909495.1_ASM1690949v1_genomic_virus_summary.tsv"
"938","NZ_JAFBFW010000018.1",8769,"No","terminal","repeats",NA,19,11,0.9994,NA,"1","GCF_016909495.1_ASM1690949v1_genomic_summary/GCF_016909495.1_ASM1690949v1_genomic_virus_summary.tsv"
"939","NZ_JAFBFW010000001.1|provirus_675848_713540",37693,"Provirus","675848-713540","43",11,0.9993,NA,17,41.2395,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_016909495.1_ASM1690949v1_genomic_summary/GCF_016909495.1_ASM1690949v1_genomic_virus_summary.tsv"
"940","NZ_JAFBFW010000002.1|provirus_592711_624495",31785,"Provirus","592711-624495","32",11,0.9984,NA,1,11.4294,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_016909495.1_ASM1690949v1_genomic_summary/GCF_016909495.1_ASM1690949v1_genomic_virus_summary.tsv"
"941","NZ_CP066794.1|provirus_3416583_3432393",15811,"Provirus","3416583-3432393","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_017161545.1_ASM1716154v1_genomic_summary/GCF_017161545.1_ASM1716154v1_genomic_virus_summary.tsv"
"942","NZ_CP066796.1|provirus_3419700_3435508",15809,"Provirus","3419700-3435508","19",11,0.9916,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_017161565.1_ASM1716156v1_genomic_summary/GCF_017161565.1_ASM1716156v1_genomic_virus_summary.tsv"
"943","NZ_MQSZ01000001.1|provirus_209035_250813",41779,"Provirus","209035-250813","60",11,0.9996,NA,19,59.2906,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_017168115.1_ASM1716811v1_genomic_summary/GCF_017168115.1_ASM1716811v1_genomic_virus_summary.tsv"
"944","NZ_MQSZ01000003.1|provirus_469219_503185",33967,"Provirus","469219-503185","45",11,0.9996,NA,23,49.9978,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_017168115.1_ASM1716811v1_genomic_summary/GCF_017168115.1_ASM1716811v1_genomic_virus_summary.tsv"
"945","NZ_MQSZ01000004.1|provirus_264589_321454",56866,"Provirus","264589-321454","90",11,0.9992,NA,13,70.7619,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_017168115.1_ASM1716811v1_genomic_summary/GCF_017168115.1_ASM1716811v1_genomic_virus_summary.tsv"
"946","NZ_JAGGMP010000001.1|provirus_3670205_3720561",50357,"Provirus","3670205-3720561","73",11,0.9997,NA,15,81.2363,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_017875455.1_ASM1787545v1_genomic_summary/GCF_017875455.1_ASM1787545v1_genomic_virus_summary.tsv"
"947","NZ_JAGGMP010000001.1|provirus_5133373_5185013",51641,"Provirus","5133373-5185013","66",11,0.9997,NA,17,68.9902,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_017875455.1_ASM1787545v1_genomic_summary/GCF_017875455.1_ASM1787545v1_genomic_virus_summary.tsv"
"948","NZ_JAGGMP010000001.1|provirus_4888500_4935344",46845,"Provirus","4888500-4935344","86",11,0.9996,NA,17,80.37,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_017875455.1_ASM1787545v1_genomic_summary/GCF_017875455.1_ASM1787545v1_genomic_virus_summary.tsv"
"949","NZ_JAGGMP010000001.1|provirus_4165902_4193448",27547,"Provirus","4165902-4193448","36",11,0.9996,NA,21,42.0343,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_017875455.1_ASM1787545v1_genomic_summary/GCF_017875455.1_ASM1787545v1_genomic_virus_summary.tsv"
"950","NZ_JAGGMP010000001.1|provirus_550343_565637",15295,"Provirus","550343-565637","21",11,0.9988,NA,15,25.8782,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_017875455.1_ASM1787545v1_genomic_summary/GCF_017875455.1_ASM1787545v1_genomic_virus_summary.tsv"
"951","NZ_JAGGMP010000001.1|provirus_5204168_5219070",14903,"Provirus","5204168-5219070","17",11,0.9887,NA,1,5.7308,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_017875455.1_ASM1787545v1_genomic_summary/GCF_017875455.1_ASM1787545v1_genomic_virus_summary.tsv"
"952","NZ_CP046582.1|provirus_2669016_2714128",45113,"Provirus","2669016-2714128","66",11,0.9998,NA,18,79.4533,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_018141005.1_ASM1814100v1_genomic_summary/GCF_018141005.1_ASM1814100v1_genomic_virus_summary.tsv"
"953","NZ_CP046582.1|provirus_2550391_2577679",27289,"Provirus","2550391-2577679","31",11,0.9996,NA,7,26.1209,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_018141005.1_ASM1814100v1_genomic_summary/GCF_018141005.1_ASM1814100v1_genomic_virus_summary.tsv"
"954","NZ_CP046582.1|provirus_3095206_3133305",38100,"Provirus","3095206-3133305","44",11,0.9995,NA,18,43.7249,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_018141005.1_ASM1814100v1_genomic_summary/GCF_018141005.1_ASM1814100v1_genomic_virus_summary.tsv"
"955","NZ_CP046582.1|provirus_2078606_2135815",57210,"Provirus","2078606-2135815","64",11,0.9995,NA,19,62.0285,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_018141005.1_ASM1814100v1_genomic_summary/GCF_018141005.1_ASM1814100v1_genomic_virus_summary.tsv"
"956","NZ_AP024331.1|provirus_3641289_3683016",41728,"Provirus","3641289-3683016","63",11,0.9993,NA,14,69.4045,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_018326325.1_ASM1832632v1_genomic_summary/GCF_018326325.1_ASM1832632v1_genomic_virus_summary.tsv"
"957","NZ_AP024331.1|provirus_4499290_4516097",16808,"Provirus","4499290-4516097","25",11,0.9991,NA,20,32.4583,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_018326325.1_ASM1832632v1_genomic_summary/GCF_018326325.1_ASM1832632v1_genomic_virus_summary.tsv"
"958","NZ_AP024331.1|provirus_61520_80058",18539,"Provirus","61520-80058","22",11,0.988,NA,0,8.5242,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_018326325.1_ASM1832632v1_genomic_summary/GCF_018326325.1_ASM1832632v1_genomic_virus_summary.tsv"
"959","NZ_AP024331.1|provirus_649342_668286",18945,"Provirus","649342-668286","26",11,0.9485,NA,1,3.5484,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_018326325.1_ASM1832632v1_genomic_summary/GCF_018326325.1_ASM1832632v1_genomic_virus_summary.tsv"
"960","NZ_AP024333.1|provirus_4436461_4453264",16804,"Provirus","4436461-4453264","25",11,0.9986,NA,18,29.526,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_018326345.1_ASM1832634v1_genomic_summary/GCF_018326345.1_ASM1832634v1_genomic_virus_summary.tsv"
"961","NZ_AP024329.1|provirus_4438374_4455182",16809,"Provirus","4438374-4455182","24",11,0.9991,NA,19,31.2443,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_018409035.1_ASM1840903v1_genomic_summary/GCF_018409035.1_ASM1840903v1_genomic_virus_summary.tsv"
"962","NZ_JAHSPF010000009.1|provirus_126368_162594",36227,"Provirus","126368-162594","47",11,0.9997,NA,20,60.2248,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_019132875.1_ASM1913287v1_genomic_summary/GCF_019132875.1_ASM1913287v1_genomic_virus_summary.tsv"
"963","NZ_JAHSPF010000002.1|provirus_254893_311219",56327,"Provirus","254893-311219","86",11,0.9995,NA,10,79.2584,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_019132875.1_ASM1913287v1_genomic_summary/GCF_019132875.1_ASM1913287v1_genomic_virus_summary.tsv"
"964","NZ_JAHSPF010000008.1|provirus_80009_97112",17104,"Provirus","80009-97112","22",11,0.9992,NA,8,29.784,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_019132875.1_ASM1913287v1_genomic_summary/GCF_019132875.1_ASM1913287v1_genomic_virus_summary.tsv"
"965","NZ_JAHSPF010000003.1|provirus_116486_185698",69213,"Provirus","116486-185698","90",11,0.9986,NA,17,68.797,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_019132875.1_ASM1913287v1_genomic_summary/GCF_019132875.1_ASM1913287v1_genomic_virus_summary.tsv"
"966","NZ_CP082141.1|provirus_2124221_2156872",32652,"Provirus","2124221-2156872","42",11,0.9995,NA,23,46.974,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_019844095.1_ASM1984409v1_genomic_summary/GCF_019844095.1_ASM1984409v1_genomic_virus_summary.tsv"
"967","NZ_CP082141.1|provirus_3974277_3989037",14761,"Provirus","3974277-3989037","21",11,0.9992,NA,15,27.2473,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_019844095.1_ASM1984409v1_genomic_summary/GCF_019844095.1_ASM1984409v1_genomic_virus_summary.tsv"
"968","NZ_CP082141.1|provirus_2868080_2877292",9213,"Provirus","2868080-2877292","13",11,0.9927,NA,2,10.4922,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_019844095.1_ASM1984409v1_genomic_summary/GCF_019844095.1_ASM1984409v1_genomic_virus_summary.tsv"
"969","NZ_JAIMFY010000009.1|provirus_23728_39565",15838,"Provirus","23728-39565","20",11,0.9928,NA,4,10.6764,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_019967055.1_ASM1996705v1_genomic_summary/GCF_019967055.1_ASM1996705v1_genomic_virus_summary.tsv"
"970","NZ_JAIMFW010000010.1|provirus_23686_39532",15847,"Provirus","23686-39532","20",11,0.993,NA,4,10.6764,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_019967065.1_ASM1996706v1_genomic_summary/GCF_019967065.1_ASM1996706v1_genomic_virus_summary.tsv"
"971","NZ_JAIMFV010000012.1|provirus_335_11797",11463,"Provirus","335-11797","14",11,0.9964,NA,4,7.2154,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_019967075.1_ASM1996707v1_genomic_summary/GCF_019967075.1_ASM1996707v1_genomic_virus_summary.tsv"
"972","NZ_JAIMFX010000013.1|provirus_111707_123169",11463,"Provirus","111707-123169","14",11,0.9938,NA,4,7.2154,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_019967115.1_ASM1996711v1_genomic_summary/GCF_019967115.1_ASM1996711v1_genomic_virus_summary.tsv"
"973","NZ_VOIC01000002.1|provirus_712691_740355",27665,"Provirus","712691-740355","41",11,0.9995,NA,6,49.74,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_020428355.1_ASM2042835v1_genomic_summary/GCF_020428355.1_ASM2042835v1_genomic_virus_summary.tsv"
"974","NZ_VOIC01000002.1|provirus_1016798_1065922",49125,"Provirus","1016798-1065922","69",11,0.9995,NA,23,69.8612,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_020428355.1_ASM2042835v1_genomic_summary/GCF_020428355.1_ASM2042835v1_genomic_virus_summary.tsv"
"975","NZ_VOIC01000001.1|provirus_654756_668526",13771,"Provirus","654756-668526","18",11,0.9984,NA,0,14.2488,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_020428355.1_ASM2042835v1_genomic_summary/GCF_020428355.1_ASM2042835v1_genomic_virus_summary.tsv"
"976","NZ_CP063697.1|provirus_3458118_3473928",15811,"Provirus","3458118-3473928","18",11,0.992,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_020544325.1_ASM2054432v1_genomic_summary/GCF_020544325.1_ASM2054432v1_genomic_virus_summary.tsv"
"977","NZ_CP063688.1|provirus_467827_483637",15811,"Provirus","467827-483637","18",11,0.9935,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_020546585.1_ASM2054658v1_genomic_summary/GCF_020546585.1_ASM2054658v1_genomic_virus_summary.tsv"
"978","NZ_CP063691.1|provirus_463405_480553",17149,"Provirus","463405-480553","19",11,0.9922,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_020546605.1_ASM2054660v1_genomic_summary/GCF_020546605.1_ASM2054660v1_genomic_virus_summary.tsv"
"979","NZ_CP085627.1|provirus_4891084_4923718",32635,"Provirus","4891084-4923718","44",11,0.9996,NA,15,46.5327,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_020683125.1_ASM2068312v1_genomic_summary/GCF_020683125.1_ASM2068312v1_genomic_virus_summary.tsv"
"980","NZ_CP085627.1|provirus_4385528_4399924",14397,"Provirus","4385528-4399924","20",11,0.9991,NA,15,25.8782,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_020683125.1_ASM2068312v1_genomic_summary/GCF_020683125.1_ASM2068312v1_genomic_virus_summary.tsv"
"981","NZ_CP063694.1|provirus_2570355_2586165",15811,"Provirus","2570355-2586165","18",11,0.992,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_020882215.1_ASM2088221v1_genomic_summary/GCF_020882215.1_ASM2088221v1_genomic_virus_summary.tsv"
"982","NZ_CP089932.1|provirus_4528446_4576303",47858,"Provirus","4528446-4576303","77",11,0.9997,NA,12,85.3923,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"983","NZ_CP089932.1|provirus_27662_40545",12884,"Provirus","27662-40545","17",11,0.9996,NA,13,21.2905,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"984","NZ_CP089932.1|provirus_1134780_1167804",33025,"Provirus","1134780-1167804","47",11,0.9995,NA,16,47.8104,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"985","NZ_CP089932.1|provirus_1190573_1220077",29505,"Provirus","1190573-1220077","44",11,0.9994,NA,20,41.648,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"986","NZ_CP089932.1|provirus_1513332_1539193",25862,"Provirus","1513332-1539193","33",11,0.9993,NA,9,35.6008,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"987","NZ_CP089932.1|provirus_1251167_1286474",35308,"Provirus","1251167-1286474","52",11,0.9991,NA,20,54.9367,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"988","NZ_CP089932.1|provirus_2204653_2238865",34213,"Provirus","2204653-2238865","45",11,0.999,NA,16,42.4524,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"989","NZ_CP089932.1|provirus_2044126_2085330",41205,"Provirus","2044126-2085330","51",11,0.999,NA,19,43.5372,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"990","NZ_CP089932.1|provirus_322681_370008",47328,"Provirus","322681-370008","51",11,0.9981,NA,14,44.4274,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"991","NZ_CP089932.1|provirus_3795851_3861567",65717,"Provirus","3795851-3861567","93",11,0.9979,NA,10,70.8047,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"992","NZ_CP089932.1|provirus_1947258_2005909",58652,"Provirus","1947258-2005909","78",11,0.9966,NA,5,44.7381,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"993","NZ_CP089932.1|provirus_2547933_2568125",20193,"Provirus","2547933-2568125","33",11,0.9957,NA,5,25.9261,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"994","NZ_CP089932.1|provirus_588952_600314",11363,"Provirus","588952-600314","21",11,0.9944,NA,0,11.0255,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"995","NZ_CP089932.1|provirus_1592184_1616493",24310,"Provirus","1592184-1616493","39",11,0.9943,NA,2,15.5037,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"996","NZ_CP089932.1|provirus_3679777_3697924",18148,"Provirus","3679777-3697924","27",11,0.9912,NA,2,6.788,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365465.1_ASM2136546v1_genomic_summary/GCF_021365465.1_ASM2136546v1_genomic_virus_summary.tsv"
"997","NZ_CP089934.1|provirus_695479_738466",42988,"Provirus","695479-738466","55",11,0.9997,NA,22,59.7718,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"998","NZ_CP089934.1|provirus_2849723_2875733",26011,"Provirus","2849723-2875733","42",11,0.9996,NA,4,38.4553,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"999","NZ_CP089937.1",35983,"No","terminal","repeats",NA,50,11,0.9995,NA,"17","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1000","NZ_CP089934.1|provirus_2932923_2963871",30949,"Provirus","2932923-2963871","37",11,0.9995,NA,10,45.3783,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1001","NZ_CP089934.1|provirus_3513625_3550763",37139,"Provirus","3513625-3550763","53",11,0.9994,NA,19,40.0359,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1002","NZ_CP089934.1|provirus_1077910_1107373",29464,"Provirus","1077910-1107373","44",11,0.9992,NA,14,32.1486,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1003","NZ_CP089934.1|provirus_3210715_3242345",31631,"Provirus","3210715-3242345","43",11,0.9984,NA,17,43.632,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1004","NZ_CP089934.1|provirus_1319607_1446764",127158,"Provirus","1319607-1446764","174",11,0.9982,NA,33,94.7568,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1005","NZ_CP089934.1|provirus_2693882_2769632",75751,"Provirus","2693882-2769632","107",11,0.9982,NA,8,78.7707,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1006","NZ_CP089934.1|provirus_301719_344073",42355,"Provirus","301719-344073","59",11,0.9978,NA,17,41.8699,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1007","NZ_CP089934.1|provirus_3131108_3155583",24476,"Provirus","3131108-3155583","41",11,0.9974,NA,1,10.3032,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1008","NZ_CP089934.1|provirus_2230995_2250963",19969,"Provirus","2230995-2250963","33",11,0.9967,NA,6,27.6435,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1009","NZ_CP089934.1|provirus_4528801_4543782",14982,"Provirus","4528801-4543782","18",11,0.9928,NA,5,12.9964,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1010","NZ_CP089934.1|provirus_801743_822527",20785,"Provirus","801743-822527","25",11,0.9073,NA,0,4.7932,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365485.1_ASM2136548v1_genomic_summary/GCF_021365485.1_ASM2136548v1_genomic_virus_summary.tsv"
"1011","NZ_CP089940.1|provirus_498379_546146",47768,"Provirus","498379-546146","77",11,0.9996,NA,12,85.3923,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365505.1_ASM2136550v1_genomic_summary/GCF_021365505.1_ASM2136550v1_genomic_virus_summary.tsv"
"1012","NZ_CP089940.1|provirus_27662_40545",12884,"Provirus","27662-40545","17",11,0.9996,NA,13,21.2905,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365505.1_ASM2136550v1_genomic_summary/GCF_021365505.1_ASM2136550v1_genomic_virus_summary.tsv"
"1013","NZ_CP089940.1|provirus_1383205_1416229",33025,"Provirus","1383205-1416229","47",11,0.9995,NA,16,47.8104,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365505.1_ASM2136550v1_genomic_summary/GCF_021365505.1_ASM2136550v1_genomic_virus_summary.tsv"
"1014","NZ_CP089940.1|provirus_1438998_1468499",29502,"Provirus","1438998-1468499","43",11,0.9994,NA,19,40.2268,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365505.1_ASM2136550v1_genomic_summary/GCF_021365505.1_ASM2136550v1_genomic_virus_summary.tsv"
"1015","NZ_CP089940.1|provirus_1761778_1787642",25865,"Provirus","1761778-1787642","35",11,0.9993,NA,9,36.2339,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365505.1_ASM2136550v1_genomic_summary/GCF_021365505.1_ASM2136550v1_genomic_virus_summary.tsv"
"1016","NZ_CP089940.1|provirus_1499589_1534444",34856,"Provirus","1499589-1534444","51",11,0.9991,NA,19,54.1507,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365505.1_ASM2136550v1_genomic_summary/GCF_021365505.1_ASM2136550v1_genomic_virus_summary.tsv"
"1017","NZ_CP089940.1|provirus_2358009_2399214",41206,"Provirus","2358009-2399214","51",11,0.999,NA,19,43.5372,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365505.1_ASM2136550v1_genomic_summary/GCF_021365505.1_ASM2136550v1_genomic_virus_summary.tsv"
"1018","NZ_CP089940.1|provirus_2098410_2130951",32542,"Provirus","2098410-2130951","46",11,0.9988,NA,16,43.6439,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365505.1_ASM2136550v1_genomic_summary/GCF_021365505.1_ASM2136550v1_genomic_virus_summary.tsv"
"1019","NZ_CP089940.1|provirus_2518532_2553101",34570,"Provirus","2518532-2553101","48",11,0.9988,NA,16,43.6439,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365505.1_ASM2136550v1_genomic_summary/GCF_021365505.1_ASM2136550v1_genomic_virus_summary.tsv"
"1020","NZ_CP089940.1|provirus_2005866_2043899",38034,"Provirus","2005866-2043899","51",11,0.9984,NA,17,41.7793,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_021365505.1_ASM2136550v1_genomic_summary/GCF_021365505.1_ASM2136550v1_genomic_virus_summary.tsv"
